time_s,state,image_height_px_at_960_width,h_image_over_h_image_max
0.0,A,124,1.0
0.033333,A,124,1.0
0.066667,A,124,1.0
0.1,A,124,1.0
0.133333,A,124,1.0
0.166667,A,124,1.0
0.2,A,124,1.0
0.233333,A,124,1.0
0.266667,A,124,1.0
0.3,A,124,1.0
0.333333,A,124,1.0
0.366667,A,124,1.0
0.4,A,124,1.0
0.433333,A,124,1.0
0.466667,A,124,1.0
0.5,A,124,1.0
0.533333,A,124,1.0
0.566667,A,124,1.0
0.6,A,124,1.0
0.633333,A,124,1.0
0.666667,A,124,1.0
0.7,A,124,1.0
0.733333,A,124,1.0
0.766667,A,124,1.0
0.8,A,124,1.0
0.833333,A,124,1.0
0.866667,A,124,1.0
0.9,A,124,1.0
0.933333,A,124,1.0
0.966667,A,124,1.0
1.0,A,124,1.0
1.033333,A,124,1.0
1.066667,A,124,1.0
1.1,A,124,1.0
1.133333,A,124,1.0
1.166667,A,124,1.0
1.2,A,124,1.0
1.233333,A,124,1.0
1.266667,A,124,1.0
1.3,A,124,1.0
1.333333,A,124,1.0
1.366667,A,124,1.0
1.4,A,124,1.0
1.433333,A,124,1.0
1.466667,A,124,1.0
1.5,A,124,1.0
1.533333,A,124,1.0
1.566667,,,
1.6,,,
1.633333,,,
1.666667,,,
1.7,,,
1.733333,,,
1.766667,,,
1.8,,,
1.833333,,,
1.866667,,,
1.9,,,
1.933333,,,
1.966667,,,
2.0,,,
2.033333,,,
2.066667,,,
2.1,,,
2.133333,,,
2.166667,,,
2.2,,,
2.233333,,,
2.266667,,,
2.3,,,
2.333333,,,
2.366667,,,
2.4,,,
2.433333,,,
2.466667,,,
2.5,,,
2.533333,,,
2.566667,,,
2.6,,,
2.633333,,,
2.666667,,,
2.7,,,
2.733333,,,
2.766667,,,
2.8,,,
2.833333,,,
2.866667,,,
2.9,,,
2.933333,,,
2.966667,,,
3.0,,,
3.033333,,,
3.066667,,,
3.1,,,
3.133333,,,
3.166667,,,
3.2,,,
3.233333,,,
3.266667,,,
3.3,,,
3.333333,,,
3.366667,,,
3.4,,,
3.433333,,,
3.466667,,,
3.5,,,
3.533333,,,
3.566667,,,
3.6,,,
3.633333,,,
3.666667,,,
3.7,,,
3.733333,,,
3.766667,,,
3.8,,,
3.833333,,,
3.866667,,,
3.9,,,
3.933333,,,
3.966667,,,
4.0,,,
4.033333,,,
4.066667,,,
4.1,,,
4.133333,,,
4.166667,,,
4.2,,,
4.233333,,,
4.266667,,,
4.3,,,
4.333333,,,
4.366667,,,
4.4,,,
4.433333,,,
4.466667,,,
4.5,,,
4.533333,,,
4.566667,,,
4.6,,,
4.633333,,,
4.666667,,,
4.7,,,
4.733333,,,
4.766667,,,
4.8,,,
4.833333,,,
4.866667,,,
4.9,,,
4.933333,,,
4.966667,,,
5.0,,,
5.033333,,,
5.066667,,,
5.1,,,
5.133333,,,
5.166667,,,
5.2,,,
5.233333,,,
5.266667,,,
5.3,,,
5.333333,,,
5.366667,,,
5.4,,,
5.433333,,,
5.466667,,,
5.5,,,
5.533333,,,
5.566667,,,
5.6,,,
5.633333,,,
5.666667,,,
5.7,,,
5.733333,,,
5.766667,,,
5.8,,,
5.833333,,,
5.866667,,,
5.9,,,
5.933333,,,
5.966667,,,
6.0,,,
6.033333,,,
6.066667,,,
6.1,,,
6.133333,,,
6.166667,,,
6.2,,,
6.233333,,,
6.266667,,,
6.3,,,
6.333333,,,
6.366667,,,
6.4,,,
6.433333,,,
6.466667,,,
6.5,,,
6.533333,,,
6.566667,,,
6.6,,,
6.633333,,,
6.666667,B,96,0.7741935483870968
6.7,B,96,0.7741935483870968
6.733333,B,96,0.7741935483870968
6.766667,B,96,0.7741935483870968
6.8,B,96,0.7741935483870968
6.833333,B,96,0.7741935483870968
6.866667,B,96,0.7741935483870968
6.9,B,96,0.7741935483870968
6.933333,B,96,0.7741935483870968
6.966667,B,96,0.7741935483870968
7.0,B,96,0.7741935483870968
7.033333,B,96,0.7741935483870968
7.066667,B,96,0.7741935483870968
7.1,B,96,0.7741935483870968
7.133333,B,96,0.7741935483870968
7.166667,B,96,0.7741935483870968
7.2,B,96,0.7741935483870968
7.233333,B,96,0.7741935483870968
7.266667,B,96,0.7741935483870968
7.3,B,96,0.7741935483870968
7.333333,B,96,0.7741935483870968
7.366667,B,96,0.7741935483870968
7.4,B,96,0.7741935483870968
7.433333,B,96,0.7741935483870968
7.466667,B,96,0.7741935483870968
7.5,B,96,0.7741935483870968
7.533333,B,96,0.7741935483870968
7.566667,B,96,0.7741935483870968
7.6,B,96,0.7741935483870968
7.633333,B,96,0.7741935483870968
7.666667,B,96,0.7741935483870968
7.7,B,96,0.7741935483870968
7.733333,B,96,0.7741935483870968
7.766667,B,96,0.7741935483870968
7.8,B,96,0.7741935483870968
7.833333,B,96,0.7741935483870968
7.866667,B,96,0.7741935483870968
7.9,B,96,0.7741935483870968
7.933333,B,96,0.7741935483870968
7.966667,B,96,0.7741935483870968
8.0,B,96,0.7741935483870968
8.033333,B,96,0.7741935483870968
8.066667,B,96,0.7741935483870968
8.1,B,96,0.7741935483870968
8.133333,B,96,0.7741935483870968
8.166667,B,96,0.7741935483870968
